Source,Listing title,Price,Location,Vehicle year/model,Part type,Color,Seller name if available,Phone/contact if available,Direct listing link,Date found,Match score,Duplicate yes/no,Status,Notes
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in seattle,,seattle,2024 Tesla Model Y,hood,black,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:22+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in spokane,,spokane,2024 Tesla Model Y,hood,black,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:25+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in bellingham,,bellingham,2024 Tesla Model Y,hood,black,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:30+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in portland,,portland,2024 Tesla Model Y,hood,black,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:33+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in eugene,,eugene,2024 Tesla Model Y,hood,black,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:48+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood black in bend,,bend,2024 Tesla Model Y,hood,black,,,https://bend.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:52+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in seattle,,seattle,2024 Tesla Model Y,hood,white,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:50:56+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in spokane,,spokane,2024 Tesla Model Y,hood,white,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:50:59+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in bellingham,,bellingham,2024 Tesla Model Y,hood,white,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:03+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in portland,,portland,2024 Tesla Model Y,hood,white,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:13+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in eugene,,eugene,2024 Tesla Model Y,hood,white,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:16+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood white in bend,,bend,2024 Tesla Model Y,hood,white,,,https://bend.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:19+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in seattle,,seattle,2024 Tesla Model Y,hood,blue,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:25+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in spokane,,spokane,2024 Tesla Model Y,hood,blue,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:29+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in bellingham,,bellingham,2024 Tesla Model Y,hood,blue,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:32+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in portland,,portland,2024 Tesla Model Y,hood,blue,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:36+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in eugene,,eugene,2024 Tesla Model Y,hood,blue,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:39+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood blue in bend,,bend,2024 Tesla Model Y,hood,blue,,,https://bend.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:43+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in seattle,,seattle,2024 Tesla Model Y,hood,gray,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:51:46+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in spokane,,spokane,2024 Tesla Model Y,hood,gray,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:51:49+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in bellingham,,bellingham,2024 Tesla Model Y,hood,gray,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:51:54+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in portland,,portland,2024 Tesla Model Y,hood,gray,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:51:58+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in eugene,,eugene,2024 Tesla Model Y,hood,gray,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:52:01+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood gray in bend,,bend,2024 Tesla Model Y,hood,gray,,,https://bend.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:52:04+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in seattle,,seattle,2024 Tesla Model Y,front bumper,red,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:32+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in spokane,,spokane,2024 Tesla Model Y,front bumper,red,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:35+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in bellingham,,bellingham,2024 Tesla Model Y,front bumper,red,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:40+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in portland,,portland,2024 Tesla Model Y,front bumper,red,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:44+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in eugene,,eugene,2024 Tesla Model Y,front bumper,red,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:52+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y front bumper red in bend,,bend,2024 Tesla Model Y,front bumper,red,,,https://bend.craigslist.org/search/pta?query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:55+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y hood red,,Nationwide / Car-Part,2024 Tesla Model Y,hood,red,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+hood+red,2026-05-01T09:50:18+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y hood black,,Nationwide / Car-Part,2024 Tesla Model Y,hood,black,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:52+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y hood white,,Nationwide / Car-Part,2024 Tesla Model Y,hood,white,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:19+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y hood blue,,Nationwide / Car-Part,2024 Tesla Model Y,hood,blue,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:43+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y hood gray,,Nationwide / Car-Part,2024 Tesla Model Y,hood,gray,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:52:04+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Car-Part.com,Car-Part usable result workflow: Tesla 2024 Model Y front bumper red,,Nationwide / Car-Part,2024 Tesla Model Y,front bumper,red,,,https://www.car-part.com/cgi-bin/search.cgi?userSearch=int&userPart=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:55+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y hood red,,West Coast,2024 Tesla Model Y,hood,red,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+hood+red,2026-05-01T09:50:18+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y hood black,,West Coast,2024 Tesla Model Y,hood,black,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:52+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y hood white,,West Coast,2024 Tesla Model Y,hood,white,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:19+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y hood blue,,West Coast,2024 Tesla Model Y,hood,blue,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:43+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y hood gray,,West Coast,2024 Tesla Model Y,hood,gray,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:52:04+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Copart,Manual review search: Tesla 2024 Model Y front bumper red,,West Coast,2024 Tesla Model Y,front bumper,red,,,https://www.copart.com/lotSearchResults?free=true&query=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:55+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y hood red,,West Coast,2024 Tesla Model Y,hood,red,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520hood%2520red,2026-05-01T09:50:18+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y hood black,,West Coast,2024 Tesla Model Y,hood,black,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520hood%2520black,2026-05-01T09:50:52+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y hood white,,West Coast,2024 Tesla Model Y,hood,white,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520hood%2520white,2026-05-01T09:51:19+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y hood blue,,West Coast,2024 Tesla Model Y,hood,blue,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520hood%2520blue,2026-05-01T09:51:43+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y hood gray,,West Coast,2024 Tesla Model Y,hood,gray,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520hood%2520gray,2026-05-01T09:52:04+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Facebook Marketplace,Manual review search: Tesla 2024 Model Y front bumper red,,West Coast,2024 Tesla Model Y,front bumper,red,,,https://www.facebook.com/marketplace/search/?query=Tesla%25202024%2520Model%2520Y%2520front%2520bumper%2520red,2026-05-01T09:52:55+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y hood red,,West Coast,2024 Tesla Model Y,hood,red,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+hood+red,2026-05-01T09:50:18+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y hood black,,West Coast,2024 Tesla Model Y,hood,black,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+hood+black,2026-05-01T09:50:52+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y hood white,,West Coast,2024 Tesla Model Y,hood,white,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+hood+white,2026-05-01T09:51:19+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y hood blue,,West Coast,2024 Tesla Model Y,hood,blue,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+hood+blue,2026-05-01T09:51:43+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y hood gray,,West Coast,2024 Tesla Model Y,hood,gray,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+hood+gray,2026-05-01T09:52:04+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
IAAI,Manual review search: Tesla 2024 Model Y front bumper red,,West Coast,2024 Tesla Model Y,front bumper,red,,,https://www.iaai.com/Search?Keyword=Tesla+2024+Model+Y+front+bumper+red,2026-05-01T09:52:55+00:00,78,No,Manual Review,"year match, model match, part match, color match, direct link, manual review source; manual review/no automated outreach"
Craigslist,Tesla Model Y Left Headlight (New),$250,seattle / north vancouver, Tesla Model Y,headlight,,,,https://vancouver.craigslist.org/nvn/pts/d/north-vancouver-tesla-model-left/7896365226.html,2026-05-01T09:54:10+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,Tesla Model Y Door Wiring Rear Right 2020-2024 OEM 1489,$135,seattle / Marysville, Tesla Model Y,door,,,,https://seattle.craigslist.org/see/pts/d/marysville-tesla-model-door-wiring-rear/7922263989.html,2026-05-01T09:54:33+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,2021-2023 Tesla Model Y Front Drivers Left Door Panel Card,$100,seattle / 7h ago NE Portland, Tesla Model Y,door,,,,https://portland.craigslist.org/mlt/pts/d/portland-tesla-model-front-drivers-left/7917863484.html,2026-05-01T09:54:33+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,Tesla Model Y performance 21” wheel rims covers curb protectors gunmetal grey,$79,seattle / Vancouver, Tesla Model Y,wheel,,,,https://vancouver.craigslist.org/van/pts/d/vancouver-tesla-model-performance-21/7901293693.html,2026-05-01T09:54:55+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,ONE Tesla Model Y Wheel Cover,$10,bellingham / Vancouver, Tesla Model Y,wheel,,,,https://vancouver.craigslist.org/van/pts/d/vancouver-one-tesla-model-wheel-cover/7906969903.html,2026-05-01T09:55:03+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,"Tesla Model 3 Clear PPF Hood, fenders, headlights, mirrors fog lights",$229,seattle / Tukwila, Tesla Model 3,hood,,,,https://seattle.craigslist.org/skc/pts/d/seattle-tesla-model-clear-ppf-hood/7917727783.html,2026-05-01T09:55:18+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
Craigslist,NEW 2017 2022 2023 Pair TESLA MODEL 3 FRONT LEFT RIGHT Side HOOD HINGE,$80,seattle / clark/cowlitz WA, Tesla Model 3,hood,,,,https://portland.craigslist.org/clk/pts/d/vancouver-new-pair-tesla-model-front/7908199617.html,2026-05-01T09:55:18+00:00,73,No,Watchlist,"year match, model match, part match, price visible, direct link, public source"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood,,Online / eBay,2024 Tesla Model Y,hood,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood&_sacat=6028,2026-05-01T09:49:30+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y front bumper,,Online / eBay,2024 Tesla Model Y,front bumper,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+front+bumper&_sacat=6028,2026-05-01T09:52:04+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y hood,,Online / eBay, Tesla Model Y,hood,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+hood&_sacat=6028,2026-05-01T09:52:55+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y front bumper,,Online / eBay, Tesla Model Y,front bumper,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+front+bumper&_sacat=6028,2026-05-01T09:53:23+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y rear bumper,,Online / eBay, Tesla Model Y,rear bumper,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+rear+bumper&_sacat=6028,2026-05-01T09:53:45+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y headlight,,Online / eBay, Tesla Model Y,headlight,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+headlight&_sacat=6028,2026-05-01T09:54:05+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y door,,Online / eBay, Tesla Model Y,door,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+door&_sacat=6028,2026-05-01T09:54:30+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model Y wheel,,Online / eBay, Tesla Model Y,wheel,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+Y+wheel&_sacat=6028,2026-05-01T09:54:52+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model 3 hood,,Online / eBay, Tesla Model 3,hood,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+3+hood&_sacat=6028,2026-05-01T09:55:14+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla Model 3 front bumper,,Online / eBay, Tesla Model 3,front bumper,,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+Model+3+front+bumper&_sacat=6028,2026-05-01T09:55:39+00:00,70,No,Manual Review,"year match, model match, part match, direct link, priority source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood in seattle,,seattle,2024 Tesla Model Y,hood,,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood,2026-05-01T09:49:35+00:00,68,No,Manual Review,"year match, model match, part match, direct link, public source; manual review/no automated outreach"
